23-08-2018 08:19:37.600 INFO  [main][DosWrapperApplicationTests] Starting DosWrapperApplicationTests on dc-xps-13 with PID 3548 (started by Matthew in C:\Users\Matthew\AL\a2si-capacity-dos-wrapper-develop)
23-08-2018 08:19:37.616 INFO  [main][DosWrapperApplicationTests] The following profiles are active: doswrapper-local-dos-stub-na-cpsc-stub-na
23-08-2018 08:19:41.679 INFO  [main][DosStubClient] DosStubClient created
23-08-2018 08:19:41.694 INFO  [main][DosWrapperSoapEndpoint] dosClient is DosStubClient{}
23-08-2018 08:19:41.694 INFO  [main][DosWrapperSoapEndpoint] capacityServiceClient is CapacityServiceStubClient{}
23-08-2018 08:19:42.819 INFO  [main][DosWrapperSoapEndpoint] dosClient is DosStubClient{}
23-08-2018 08:19:42.819 INFO  [main][DosWrapperSoapEndpoint] capacityServiceClient is CapacityServiceStubClient{}
23-08-2018 08:19:44.429 INFO  [main][DosWrapperApplicationTests] Started DosWrapperApplicationTests in 7.407 seconds (JVM running for 8.624)
23-08-2018 08:28:52.647 INFO  [main][DosWrapperApplicationTests] Starting DosWrapperApplicationTests on dc-xps-13 with PID 2920 (started by Matthew in C:\Users\Matthew\AL\a2si-capacity-dos-wrapper-develop)
23-08-2018 08:28:52.650 INFO  [main][DosWrapperApplicationTests] The following profiles are active: doswrapper-local-dos-stub-na-cpsc-stub-na
23-08-2018 08:28:56.729 INFO  [main][DosStubClient] DosStubClient created
23-08-2018 08:28:56.751 INFO  [main][DosWrapperSoapEndpoint] dosClient is DosStubClient{}
23-08-2018 08:28:56.751 INFO  [main][DosWrapperSoapEndpoint] capacityServiceClient is CapacityServiceStubClient{}
23-08-2018 08:28:57.862 INFO  [main][DosWrapperSoapEndpoint] dosClient is DosStubClient{}
23-08-2018 08:28:57.863 INFO  [main][DosWrapperSoapEndpoint] capacityServiceClient is CapacityServiceStubClient{}
23-08-2018 08:28:59.308 INFO  [main][DosWrapperApplicationTests] Started DosWrapperApplicationTests in 7.17 seconds (JVM running for 8.193)
